user_id,age_group,populational_aff,gender,education,location_city,country,interest_tags
359,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
360,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
361,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
362,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
363,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
364,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Ginásio
365,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
366,25 - 30,White/Caucasian,M,Bachelor’s Degree,Faro,Portugal,
367,18 - 24,White/Caucasian,M,High School,Santarém,Portugal,
368,31 - 40,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
369,25 - 30,Latino,M,Master’s Degree,Lisboa,Portugal,
370,18 - 24,White/Caucasian,F,High School,Setúbal,Portugal,
371,18 - 24,Prefer not to disclose,F,Bachelor’s Degree,Lisboa,Portugal,
372,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
373,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Ginásio e Futebol
374,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
375,25 - 30,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,
376,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,
377,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
378,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,
379,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
380,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,
381,18 - 24,Prefer not to disclose,M,High School,Lisboa,Portugal,Andar de mota
382,18 - 24,White/Caucasian,M,Bachelor’s Degree,Tábor,Czech Republic,
383,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,Futebol
384,18 - 24,White/Caucasian,M,Bachelor’s Degree,Vila Real,Portugal,
385,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
386,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
387,18 - 24,Prefer not to disclose,M,Master’s Degree,Lisboa,Portugal,
388,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Ginásio
389,18 - 24,Asian,M,Bachelor’s Degree,Lisboa,Portugal,Escalada
390,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,GINÁSIO
391,41 - 50,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,Snowboarding
392,25 - 30,White/Caucasian,F,Doctorate Degree,Baden-Württemberg,Germany,
393,41 - 50,White/Caucasian,F,Master’s Degree,Açores,Portugal,
394,41 - 50,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,Ginásio
395,51 - 60,Latino,F,Bachelor’s Degree,Lisboa,Portugal,
396,41 - 50,White/Caucasian,F,Master’s Degree,Aveiro,Portugal,
397,25 - 30,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,"Pesca, Desporto"
398,51 - 60,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
399,41 - 50,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
400,41 - 50,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
401,61 - 70,Latino,M,High School,Lisboa,Portugal,Caminhada
402,51 - 60,Latino,M,Bachelor’s Degree,Lisboa,Portugal,Pesca
403,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
404,51 - 60,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
405,41 - 50,White/Caucasian,M,High School,Porto,Portugal,Columbofilia
406,41 - 50,White/Caucasian,F,Master’s Degree,Leiria,Portugal,
407,18 - 24,Latino,M,Bachelor’s Degree,Lisboa,Portugal,Vôlei
408,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
409,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
410,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
411,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
412,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
413,51 - 60,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Informática
414,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
415,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Ginásio
416,25 - 30,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
417,61 - 70,Latino,F,Doctorate Degree,Lisboa,Portugal,
418,25 - 30,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,Puzzles
419,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
420,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
421,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
422,18 - 24,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,
423,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,
424,18 - 24,White/Caucasian,M,Master’s Degree,Viseu,Portugal,
425,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
426,18 - 24,White/Caucasian,M,Master’s Degree,Guarda,Portugal,Ginásio
427,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
428,18 - 24,White/Caucasian,M,High School,Viseu,Portugal,Futebol
429,18 - 24,White/Caucasian,M,High School,Viseu,Portugal,Futebol
430,18 - 24,White/Caucasian,M,High School,Viseu,Portugal,Futebol
431,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
432,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
433,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
434,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
435,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
436,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
437,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
438,18 - 24,White/Caucasian,F,Master’s Degree,Viseu,Portugal,Ginásio
439,18 - 24,White/Caucasian,M,Bachelor’s Degree,Viseu,Portugal,Futebol
440,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
441,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,
442,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
443,25 - 30,White/Caucasian,M,Master’s Degree,Viseu,Portugal,
444,18 - 24,White/Caucasian,M,Bachelor’s Degree,Castelo Branco,Portugal,
445,25 - 30,Hispanic,M,Bachelor’s Degree,Salamanca,Spain,
446,18 - 24,White/Caucasian,M,Master’s Degree,Setúbal,Portugal,
