user_id,age_group,populational_aff,gender,education,location_city,country,interest_tags
85,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
86,25 - 30,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,surf
87,18 - 24,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,
88,18 - 24,White/Caucasian,F,Bachelor’s Degree,Santarém,Portugal,Ginásio
89,18 - 24,White/Caucasian,F,Master’s Degree,Setúbal,Portugal,Ginásio
90,18 - 24,White/Caucasian,M,Master’s Degree,Santarém,Portugal,Basquetebol
91,25 - 30,White/Caucasian,F,Master’s Degree,Faro,Portugal,
92,31 - 40,Prefer not to disclose,M,Master’s Degree,Lisboa,Portugal,
93,61 - 70,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
94,25 - 30,White/Caucasian,M,Master’s Degree,Leiria,Portugal,
95,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,
96,25 - 30,White/Caucasian,F,Master’s Degree,Setúbal,Portugal,
97,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Futebol
98,71 - 80,Latino,F,Bachelor’s Degree,Lisboa,Portugal,
99,18 - 24,White/Caucasian,M,Master’s Degree,Santarém,Portugal,
100,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
101,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
102,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
103,41 - 50,Latino,M,Middle School,Lisboa,Portugal,
104,61 - 70,Latino,F,High School,Lisboa,Portugal,
105,61 - 70,Latino,F,Master’s Degree,Lisboa,Portugal,
106,61 - 70,Latino,F,Master’s Degree,Lisboa,Portugal,
107,31 - 40,White/Caucasian,M,High School,Lisboa,Portugal,
108,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
109,51 - 60,Prefer not to disclose,F,Middle School,Lisboa,Portugal,
110,61 - 70,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
111,25 - 30,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
112,41 - 50,Latino,M,Bachelor’s Degree,Lisboa,Portugal,
113,25 - 30,White/Caucasian,F,Bachelor’s Degree,Faro,Portugal,
114,18 - 24,White/Caucasian,F,Master’s Degree,Setúbal,Portugal,Futebol
115,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
116,51 - 60,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
117,51 - 60,Latino,M,Master’s Degree,Lisboa,Portugal,Mergulho
118,51 - 60,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
119,31 - 40,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,
120,51 - 60,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,
121,18 - 24,White/Caucasian,F,Middle School,Santarém,Portugal,
122,18 - 24,White/Caucasian,F,Master’s Degree,Santarém,Portugal,
123,25 - 30,Asian,F,Bachelor’s Degree,Metro Manila,Philippines,Gym
124,18 - 24,Asian,F,Bachelor’s Degree,Karnataka,India,
125,18 - 24,Latino,F,Bachelor’s Degree,Pará,Brazil,
126,25 - 30,White/Caucasian,M,High School,Setúbal,Portugal,
127,18 - 24,White/Caucasian,F,High School,Setúbal,Portugal,Surf
128,18 - 24,Prefer not to disclose,F,High School,Lisboa,Portugal,
129,18 - 24,White/Caucasian,F,High School,Setúbal,Portugal,
130,18 - 24,Latino,M,High School,Faro,Portugal,
131,25 - 30,White/Caucasian,M,High School,Indiana,United States,
132,25 - 30,Hispanic,F,Master’s Degree,California,United States,
133,25 - 30,Hispanic,F,Master’s Degree,California,United States,
134,25 - 30,Hispanic,F,Master’s Degree,California,United States,
135,25 - 30,Hispanic,F,Master’s Degree,California,United States,
136,25 - 30,White/Caucasian,M,Bachelor’s Degree,New Jersey,United States,
137,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
138,25 - 30,White/Caucasian,F,Bachelor’s Degree,Budapest,Hungary,
139,25 - 30,White/Caucasian,F,Bachelor’s Degree,Padua,Italy,
140,31 - 40,White/Caucasian,F,Bachelor’s Degree,Central Finland,Finland,
141,18 - 24,White/Caucasian,F,Bachelor’s Degree,İstanbul,Turkey,
142,18 - 24,White/Caucasian,M,High School,Stockholm County,Sweden,
143,18 - 24,White/Caucasian,M,High School,Setúbal,Portugal,
144,25 - 30,White/Caucasian,F,Bachelor’s Degree,Oregon,United States,
145,18 - 24,White/Caucasian,F,High School,Ontario,Canada,Writing
146,25 - 30,Asian,M,Master’s Degree,Leeds,United Kingdom,
147,25 - 30,White/Caucasian,M,High School,Pennsylvania,United States,
148,25 - 30,Asian,F,Master’s Degree,City and County of Cardiff,United Kingdom,
149,31 - 40,White/Caucasian,M,High School,Capital Region of Denmark,Denmark,
150,18 - 24,White/Caucasian,F,High School,Glasgow,United Kingdom,Figure skating
151,31 - 40,Asian,O,Bachelor’s Degree,Eastern Cape,South Africa,
152,31 - 40,White/Caucasian,M,Doctorate Degree,District of Columbia,United States,Weightlifting
153,41 - 50,White/Caucasian,F,High School,Ontario,Canada,
154,31 - 40,White/Caucasian,M,Bachelor’s Degree,City of Southampton,United Kingdom,
155,25 - 30,Asian,F,Master’s Degree,City of Southampton,United Kingdom,
156,25 - 30,Asian,F,Master’s Degree,City of Southampton,United Kingdom,
157,25 - 30,Asian,F,Master’s Degree,City of Southampton,United Kingdom,
158,31 - 40,White/Caucasian,O,High School,Dublin,Ireland,Writing. Travel. Sex.
