fold,item,train_degree,embedding_norm
0,1,4,3.352417469024658
0,2,9,3.4898178577423096
0,5,5,3.4320201873779297
0,6,3,3.8047590255737305
0,8,2,3.376924514770508
0,11,3,3.4025585651397705
0,12,4,3.4395828247070312
0,13,4,2.9763896465301514
0,14,3,3.1627538204193115
0,20,2,0.8329371213912964
0,22,4,2.46647310256958
0,25,4,2.661205291748047
0,30,4,3.7323527336120605
0,31,3,3.0425679683685303
0,32,4,3.9837117195129395
0,33,2,4.478911399841309
0,38,3,3.6638550758361816
0,39,7,3.829955816268921
0,40,5,3.388577938079834
0,44,4,4.115710258483887
0,46,4,3.511516571044922
0,49,5,4.524228096008301
0,55,4,3.093909740447998
0,58,3,3.3530027866363525
0,59,3,3.4944894313812256
0,60,5,3.5123114585876465
0,62,4,3.6172213554382324
0,63,4,3.6512088775634766
0,64,7,3.3024582862854004
0,65,3,4.781270503997803
0,69,6,3.608081579208374
0,72,5,3.7609810829162598
0,78,5,3.2913742065429688
0,80,2,0.4478168785572052
0,81,4,2.666044235229492
0,82,4,3.3675644397735596
0,89,4,3.2365469932556152
0,90,6,3.976245164871216
0,91,5,3.437082052230835
0,93,2,0.06280714273452759
0,94,7,3.3645761013031006
0,95,4,3.456523895263672
0,96,5,3.526759386062622
0,97,5,3.034987211227417
0,98,4,3.7639613151550293
0,99,3,3.512103796005249
0,101,5,3.3419830799102783
0,103,4,3.5014567375183105
0,104,3,3.9031636714935303
0,105,4,4.236995697021484
0,106,3,3.5636680126190186
0,108,4,3.4040229320526123
0,112,4,3.655080795288086
0,113,8,3.1459715366363525
0,118,5,4.845344543457031
0,121,4,3.3224833011627197
0,122,4,3.566598892211914
0,123,5,3.379258871078491
0,127,3,3.40103816986084
0,128,4,2.943547010421753
0,129,4,2.4378206729888916
0,132,4,3.325155258178711
0,134,5,0.916067361831665
0,135,3,0.6218948364257812
0,136,7,3.841555595397949
0,137,4,4.220313549041748
0,140,4,0.5138583779335022
0,142,5,0.30401599407196045
0,143,7,0.4641690254211426
0,148,5,0.1725362092256546
0,149,5,0.5528241395950317
0,155,4,2.5364043712615967
0,157,5,0.9022470116615295
0,158,1,0.29286184906959534
0,164,5,0.5120922327041626
0,166,7,0.040753211826086044
0,168,5,3.5293631553649902
0,169,3,0.04404119402170181
0,173,4,3.5732648372650146
0,174,2,3.316870927810669
0,176,5,3.5275895595550537
0,177,3,3.1772382259368896
0,183,6,3.346606969833374
0,184,5,4.012198448181152
0,185,3,3.1942362785339355
0,186,7,4.006965637207031
0,189,4,3.5988686084747314
0,191,6,3.7727043628692627
0,192,3,3.335080862045288
0,193,4,3.6370744705200195
0,194,3,3.876042127609253
0,195,6,4.196885108947754
0,196,5,3.466085910797119
0,198,6,3.564157009124756
0,201,3,3.5756571292877197
0,203,4,4.6768059730529785
