fold,item,train_degree,embedding_norm
0,1,4,3.415757417678833
0,2,9,3.267510175704956
0,5,5,3.4932212829589844
0,6,3,3.4937078952789307
0,8,2,3.4545536041259766
0,11,3,3.771559238433838
0,12,4,3.327500104904175
0,13,4,3.491798162460327
0,14,3,2.478767156600952
0,20,2,0.4878128468990326
0,22,4,2.9011237621307373
0,25,4,2.815553903579712
0,30,4,3.3435051441192627
0,31,3,3.2581896781921387
0,32,4,3.573988914489746
0,33,2,3.839500665664673
0,38,3,3.4915213584899902
0,39,7,3.462790012359619
0,40,5,3.1387948989868164
0,44,4,3.5969207286834717
0,46,4,3.299252510070801
0,49,5,3.9792850017547607
0,55,4,2.579555034637451
0,58,3,3.359386444091797
0,59,3,3.4018003940582275
0,60,5,3.482314109802246
0,62,4,3.1965689659118652
0,63,4,3.8603620529174805
0,64,7,3.202517032623291
0,65,3,3.9983718395233154
0,69,6,3.5291404724121094
0,72,5,3.8129539489746094
0,78,5,3.024705648422241
0,80,2,0.13041488826274872
0,81,4,3.2834665775299072
0,82,4,3.669353485107422
0,89,4,3.7699363231658936
0,90,6,3.545334815979004
0,91,5,3.297581195831299
0,93,2,0.06376000493764877
0,94,7,2.856977701187134
0,95,4,2.8088157176971436
0,96,5,3.2419657707214355
0,97,5,3.924062490463257
0,98,4,3.4101176261901855
0,99,3,4.183868885040283
0,101,5,3.2092387676239014
0,103,4,3.628678321838379
0,104,3,3.5755252838134766
0,105,4,3.808751106262207
0,106,3,3.441307544708252
0,108,4,3.224864959716797
0,112,4,3.302225351333618
0,113,8,3.3186569213867188
0,118,5,3.81286883354187
0,121,4,3.7097039222717285
0,122,4,3.793591022491455
0,123,5,2.9920403957366943
0,127,3,4.050493240356445
0,128,4,3.0294618606567383
0,129,4,2.2417032718658447
0,132,4,3.1414735317230225
0,134,5,0.40466928482055664
0,135,3,0.42856428027153015
0,136,7,3.536970853805542
0,137,4,2.897481918334961
0,140,4,0.5288820266723633
0,142,5,0.25682899355888367
0,143,7,0.37890228629112244
0,148,5,0.1522522121667862
0,149,5,0.45066121220588684
0,155,4,2.4733245372772217
0,157,5,0.49463608860969543
0,158,1,0.09644156694412231
0,164,5,0.23306548595428467
0,166,7,0.15786102414131165
0,168,5,3.527362585067749
0,169,3,0.04783235862851143
0,173,4,3.8104000091552734
0,174,2,2.798140287399292
0,176,5,3.769111156463623
0,177,3,2.615053415298462
0,183,6,3.2331337928771973
0,184,5,3.9345273971557617
0,185,3,3.4517509937286377
0,186,7,3.8801023960113525
0,189,4,3.3960788249969482
0,191,6,3.8390614986419678
0,192,3,3.4676742553710938
0,193,4,3.252431869506836
0,194,3,3.6947925090789795
0,195,6,3.6638317108154297
0,196,5,3.666219711303711
0,198,6,3.219007730484009
0,201,3,3.1771154403686523
0,203,4,3.873713493347168
0,205,5,3.3633432388305664
0,206,4,3.6722512245178223
0,208,4,2.8864667415618896
0,210,5,3.513674259185791
0,215,5,3.1784186363220215
0,216,5,3.071399688720703
0,220,5,2.857131242752075
0,221,5,3.2225499153137207
0,222,4,0.5088146924972534
0,224,5,0.43999388813972473
0,227,5,0.07588551938533783
0,229,7,3.9671852588653564
0,230,3,2.337019681930542
0,231,3,0.10814414173364639
0,235,5,2.685352325439453
0,239,4,0.36863455176353455
0,243,5,0.23182108998298645
0,248,8,2.9579460620880127
0,249,4,3.5089197158813477
0,250,5,3.670719861984253
0,253,3,0.38518771529197693
0,257,5,3.2702128887176514
0,259,5,3.6684539318084717
0,261,4,3.63808012008667
0,264,5,3.550048828125
0,270,3,3.8111162185668945
0,271,4,3.6151487827301025
0,272,14,4.170373439788818
0,273,5,3.728609561920166
0,275,5,3.646209955215454
0,278,5,3.195504665374756
0,283,4,4.01728630065918
0,285,4,3.464570999145508
0,286,3,3.4396305084228516
0,288,3,0.6419491171836853
0,289,5,3.100633382797241
0,293,5,3.44330096244812
0,294,4,3.6851515769958496
0,295,4,3.3871443271636963
0,297,7,3.8468148708343506
0,298,5,3.6152870655059814
0,301,7,3.8766915798187256
0,306,2,3.887155532836914
0,308,3,0.5191137194633484
0,310,4,2.6434390544891357
0,314,5,3.735706329345703
0,315,5,3.602470874786377
0,316,4,2.8942549228668213
0,317,5,0.4566156268119812
0,318,4,0.17415763437747955
0,319,4,0.09112902730703354
0,321,4,2.908811092376709
0,325,2,0.3775504231452942
0,326,4,0.9849646091461182
0,327,1,2.789942502975464
0,330,4,0.34648892283439636
0,333,5,3.756770133972168
0,336,5,0.07096214592456818
0,338,4,3.1790215969085693
0,339,5,0.46398186683654785
0,340,3,0.2996387481689453
0,342,1,0.20937210321426392
0,343,5,2.970510244369507
0,346,5,3.8579301834106445
0,347,4,0.1882312148809433
0,348,5,2.5446813106536865
0,351,3,0.5662155151367188
0,354,4,2.968585729598999
0,356,5,3.3387911319732666
0,357,6,2.784897565841675
0,359,4,3.593101978302002
0,360,3,0.7378116846084595
0,362,2,0.1637038290500641
0,364,3,2.6677398681640625
0,365,4,0.18188002705574036
0,366,5,2.696213722229004
0,368,3,0.5280706882476807
0,375,3,3.355177640914917
0,379,6,2.590176820755005
0,380,3,2.8002991676330566
0,381,3,0.11713749915361404
0,383,6,2.681663990020752
0,385,5,3.3998830318450928
0,387,4,3.4959163665771484
0,390,7,3.376777410507202
0,393,5,3.7323148250579834
0,394,5,3.783921957015991
0,397,5,3.4331514835357666
