Modelo,Precision@1,NDCG@10,MRR@10,HitRate@10,Recall@10
LightGCN (NDCG),0.8192,0.9021,0.8949,0.9995,0.9971
LightGCN (MRR),0.8206,0.9008,0.8955,0.9991,0.9959
KNN-All,0.8307,0.8777,0.9013,0.9831,0.9247
HeteroGATv2,0.751,0.872,0.8534,0.9991,0.9967
HeteroGAT,0.7382,0.8621,0.845,0.9995,0.996
