fold,item,train_degree,embedding_norm
0,1,4,4.269173622131348
0,2,9,3.5750274658203125
0,5,5,3.3989036083221436
0,6,3,3.948589324951172
0,8,2,3.6723246574401855
0,11,3,4.7490010261535645
0,12,4,3.893699884414673
0,13,4,3.717743396759033
0,14,3,3.9239284992218018
0,20,2,2.9969584941864014
0,22,4,4.127350807189941
0,25,4,3.3634324073791504
0,30,4,4.129315376281738
0,31,3,4.102482795715332
0,32,4,3.69844388961792
0,33,2,4.286588668823242
0,38,3,3.8037195205688477
0,39,7,3.625563383102417
0,40,5,4.32473611831665
0,44,4,3.6785287857055664
0,46,4,3.4154930114746094
0,49,5,4.1205573081970215
0,55,4,4.015532970428467
0,58,3,3.704287528991699
0,59,3,3.6440412998199463
0,60,5,3.9692907333374023
0,62,4,3.539257526397705
0,63,4,4.354531288146973
0,64,7,3.6546034812927246
0,65,3,3.746737003326416
0,69,6,3.572511672973633
0,72,5,4.4308061599731445
0,78,5,3.3330249786376953
0,80,2,3.0194661617279053
0,81,4,3.5574395656585693
0,82,4,4.053049564361572
0,89,4,3.846165418624878
0,90,6,3.6676857471466064
0,91,5,4.325741767883301
0,93,2,2.9503374099731445
0,94,7,3.489166259765625
0,95,4,3.04025936126709
0,96,5,3.628749132156372
0,97,5,4.376842975616455
0,98,4,4.135654926300049
0,99,3,4.280027866363525
0,101,5,4.625725269317627
0,103,4,4.067039966583252
0,104,3,4.212394714355469
0,105,4,3.883643627166748
0,106,3,3.5183680057525635
0,108,4,3.518566846847534
0,112,4,3.9879801273345947
0,113,8,3.310298204421997
0,118,5,3.528918504714966
0,121,4,4.177865505218506
0,122,4,3.9929611682891846
0,123,5,3.4938066005706787
0,127,3,3.7299671173095703
0,128,4,3.8507916927337646
0,129,4,3.9741837978363037
0,132,4,4.01013708114624
0,134,5,2.869886636734009
0,135,3,2.578723669052124
0,136,7,3.5545825958251953
0,137,4,3.698721170425415
0,140,4,2.5730624198913574
0,142,5,2.8167710304260254
0,143,7,2.800501585006714
0,148,5,2.668977737426758
0,149,5,2.5023903846740723
0,155,4,3.9016988277435303
0,157,5,2.966783046722412
0,158,1,2.919365167617798
0,164,5,2.9417035579681396
0,166,7,2.614428997039795
0,168,5,3.480253219604492
0,169,3,2.5748980045318604
0,173,4,3.6433284282684326
0,174,2,3.4707937240600586
0,176,5,3.891526937484741
0,177,3,3.411250352859497
0,183,6,4.101518154144287
0,184,5,3.3832406997680664
0,185,3,4.69926643371582
0,186,7,3.590397357940674
0,189,4,3.8139829635620117
0,191,6,3.782423973083496
0,192,3,3.964899778366089
0,193,4,4.07319974899292
0,194,3,3.7462189197540283
0,195,6,4.316812992095947
0,196,5,3.9931042194366455
0,198,6,3.802194356918335
0,201,3,4.035665035247803
0,203,4,3.8201191425323486
0,205,5,3.786911725997925
0,206,4,3.736598491668701
