Modelo,Precision@1,Recall@10,HitRate@10,NDCG@10,MRR@10
LightGCN,0.8192,0.9971,0.9995,0.9021,0.8949
HeteroGATv2-Visual,0.7638,0.9986,1.0,0.8811,0.8639
KNN,0.8307,0.9247,0.9831,0.8777,0.9013
HeteroGAT-Visual,0.7625,0.9971,0.9995,0.8759,0.8608
HeteroGATv2,0.751,0.9967,0.9991,0.872,0.8534
HeteroGAT,0.7382,0.996,0.9995,0.8621,0.845
