Modelo,Precision@1,Recall@10,HitRate@10,NDCG@10,MRR@10
LightGCN,0.8192,0.9971,0.9995,0.9021,0.8949
KNN,0.8307,0.9247,0.9831,0.8777,0.9013
HeteroGATv2,0.751,0.9967,0.9991,0.872,0.8534
HeteroGAT,0.7382,0.996,0.9995,0.8621,0.845
