id,age,populational_aff,gender,education,city,country_residence,date_survey,consented,hobby_other
173,31 - 40,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-07-17 21:45:40,1,
174,51 - 60,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2024-09-22 18:21:01,1,
175,51 - 60,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2024-09-22 18:22:59,1,
176,51 - 60,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-09-22 19:25:13,1,
177,41 - 50,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,2024-09-22 19:32:20,1,
178,31 - 40,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-09-22 19:40:13,1,
179,41 - 50,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,2024-09-22 20:04:02,1,
180,41 - 50,Latino,F,Master’s Degree,Lisboa,Portugal,2024-09-22 20:23:58,1,
181,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-09-22 22:32:57,1,
182,41 - 50,Latino,F,High School,Leiria,Portugal,2024-09-23 00:14:25,1,
183,41 - 50,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,2024-09-23 08:13:37,1,
184,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-09-23 20:07:43,1,
185,41 - 50,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-09-23 21:35:08,1,
186,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-09-24 05:57:11,1,
187,41 - 50,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-09-24 06:08:43,1,
188,51 - 60,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-09-24 11:03:50,1,
189,18 - 24,White/Caucasian,M,Middle School,Santarém,Portugal,2024-10-05 12:18:40,1,
190,25 - 30,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2024-10-05 16:13:54,1,
191,18 - 24,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,2024-10-05 18:34:26,1,
192,51 - 60,White/Caucasian,F,Doctorate Degree,Setúbal,Portugal,2024-10-05 19:05:00,1,Fotografia
193,51 - 60,Latino,M,High School,Setúbal,Portugal,2024-10-05 20:09:49,1,
194,18 - 24,White/Caucasian,F,Master’s Degree,Santarém,Portugal,2024-10-06 12:52:34,1,
195,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-10-06 19:47:34,1,
196,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-10-08 16:45:28,1,
197,18 - 24,Black,F,Master’s Degree,Lisboa,Portugal,2024-10-08 20:24:56,1,
198,25 - 30,Hispanic,M,Bachelor’s Degree,Lisboa,Portugal,2024-10-08 22:10:03,1,
199,18 - 24,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,2024-10-09 11:55:19,1,
200,41 - 50,White/Caucasian,F,High School,Santarém,Portugal,2024-10-09 13:22:05,1,
201,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-10-09 20:06:08,1,
202,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-10-12 10:07:44,1,
203,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-10-12 22:31:50,1,
204,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2024-10-13 12:04:19,1,Skate
205,18 - 24,Hispanic,F,Master’s Degree,Lisboa,Portugal,2024-10-13 21:43:29,1,
206,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-10-15 02:46:42,1,ginásio
207,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-10-16 08:07:22,1,
208,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-10-16 08:07:55,1,
209,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-10-16 08:37:13,1,
210,18 - 24,Latino,F,Bachelor’s Degree,Lisboa,Portugal,2024-10-16 08:42:50,1,
211,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2024-10-16 08:46:14,1,
212,18 - 24,Prefer not to disclose,O,Bachelor’s Degree,Lisboa,Portugal,2024-10-16 08:47:58,1,
213,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-10-16 08:53:54,1,
214,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2024-10-16 09:21:39,1,
