id,age,populational_aff,gender,education,city,country_residence,date_survey,consented,hobby_other
354,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-13 18:21:32,1,
355,18 - 24,White/Caucasian,F,High School,Setúbal,Portugal,2025-09-13 21:20:35,1,
356,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-14 09:17:38,1,
357,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-14 09:48:47,1,
358,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-14 12:30:06,1,
359,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-14 14:03:37,1,
360,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-14 14:03:42,1,
361,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-14 14:03:47,1,
362,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-14 14:03:51,1,
363,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-14 14:03:57,1,
364,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-14 16:10:44,1,Ginásio
365,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-14 19:12:26,1,
366,25 - 30,White/Caucasian,M,Bachelor’s Degree,Faro,Portugal,2025-09-15 09:39:39,1,
367,18 - 24,White/Caucasian,M,High School,Santarém,Portugal,2025-09-15 18:36:46,1,
368,31 - 40,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-16 08:14:49,1,
369,25 - 30,Latino,M,Master’s Degree,Lisboa,Portugal,2025-09-20 08:47:30,1,
370,18 - 24,White/Caucasian,F,High School,Setúbal,Portugal,2025-09-23 16:11:57,1,
371,18 - 24,Prefer not to disclose,F,Bachelor’s Degree,Lisboa,Portugal,2025-10-04 13:29:22,1,
372,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-10-06 13:11:05,1,
373,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-10-06 13:13:30,1,Ginásio e Futebol
374,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-10-06 13:13:32,1,
375,25 - 30,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,2025-10-06 13:13:40,1,
376,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2025-10-06 13:13:54,1,
377,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-10-06 13:14:13,1,
378,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2025-10-06 13:14:49,1,
379,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-10-06 13:14:56,1,
380,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2025-10-06 13:15:17,1,
381,18 - 24,Prefer not to disclose,M,High School,Lisboa,Portugal,2025-10-06 13:15:19,1,Andar de mota
382,18 - 24,White/Caucasian,M,Bachelor’s Degree,Tábor,Czech Republic,2025-10-06 13:15:20,1,
383,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2025-10-06 13:16:31,1,Futebol
384,18 - 24,White/Caucasian,M,Bachelor’s Degree,Vila Real,Portugal,2025-10-06 13:16:34,1,
385,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2025-10-06 13:18:11,1,
386,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-10-06 13:18:23,1,
387,18 - 24,Prefer not to disclose,M,Master’s Degree,Lisboa,Portugal,2025-10-06 13:18:55,1,
388,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-10-06 13:19:31,1,Ginásio
389,18 - 24,Asian,M,Bachelor’s Degree,Lisboa,Portugal,2025-10-06 13:20:08,1,Escalada
390,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2025-10-06 13:21:33,1,GINÁSIO
391,41 - 50,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2025-10-06 13:22:48,1,Snowboarding
392,25 - 30,White/Caucasian,F,Doctorate Degree,Baden-Württemberg,Germany,2026-01-29 10:33:10,1,
393,41 - 50,White/Caucasian,F,Master’s Degree,Açores,Portugal,2026-02-24 18:18:58,1,
394,41 - 50,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2026-02-24 18:19:39,1,Ginásio
395,51 - 60,Latino,F,Bachelor’s Degree,Lisboa,Portugal,2026-02-24 19:03:16,1,
396,41 - 50,White/Caucasian,F,Master’s Degree,Aveiro,Portugal,2026-02-24 19:26:05,1,
397,25 - 30,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2026-02-24 19:50:12,1,"Pesca, Desporto"
398,51 - 60,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-02-24 19:52:49,1,
399,41 - 50,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-02-24 20:10:00,1,
400,41 - 50,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2026-02-24 20:13:53,1,
401,61 - 70,Latino,M,High School,Lisboa,Portugal,2026-02-24 20:23:41,1,Caminhada
402,51 - 60,Latino,M,Bachelor’s Degree,Lisboa,Portugal,2026-02-24 20:27:22,1,Pesca
403,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2026-02-24 20:49:08,1,
404,51 - 60,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-02-26 08:28:13,1,
405,41 - 50,White/Caucasian,M,High School,Porto,Portugal,2026-02-26 09:11:13,1,Columbofilia
406,41 - 50,White/Caucasian,F,Master’s Degree,Leiria,Portugal,2026-02-26 09:12:51,1,
407,18 - 24,Latino,M,Bachelor’s Degree,Lisboa,Portugal,2026-02-26 10:50:06,1,Vôlei
408,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2026-02-26 10:54:50,1,
409,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-02-26 11:43:06,1,
410,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2026-02-26 12:00:49,1,
411,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-02-26 12:24:03,1,
412,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-02-26 12:24:13,1,
413,51 - 60,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-02-27 08:49:01,1,Informática
414,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2026-03-02 00:48:12,1,
415,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-03-04 15:04:56,1,Ginásio
416,25 - 30,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2026-03-04 15:08:51,1,
417,61 - 70,Latino,F,Doctorate Degree,Lisboa,Portugal,2026-03-04 15:09:28,1,
418,25 - 30,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,2026-03-04 15:11:06,1,Puzzles
419,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-03-04 15:17:37,1,
420,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-03-04 15:54:52,1,
421,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-03-04 17:10:13,1,
422,18 - 24,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,2026-03-24 16:15:57,1,
423,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2026-05-07 13:44:11,1,
424,18 - 24,White/Caucasian,M,Master’s Degree,Viseu,Portugal,2026-05-07 13:53:28,1,
425,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2026-05-07 14:00:07,1,
426,18 - 24,White/Caucasian,M,Master’s Degree,Guarda,Portugal,2026-05-07 14:00:36,1,Ginásio
427,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-07 14:01:46,1,
428,18 - 24,White/Caucasian,M,High School,Viseu,Portugal,2026-05-07 14:04:32,1,Futebol
429,18 - 24,White/Caucasian,M,High School,Viseu,Portugal,2026-05-07 14:04:34,1,Futebol
430,18 - 24,White/Caucasian,M,High School,Viseu,Portugal,2026-05-07 14:04:36,1,Futebol
431,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2026-05-07 14:05:40,1,
432,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2026-05-07 14:05:42,1,
433,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2026-05-07 14:05:44,1,
434,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2026-05-07 14:05:47,1,
435,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-07 14:16:18,1,
436,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-07 14:16:59,1,
437,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-07 14:17:38,1,
438,18 - 24,White/Caucasian,F,Master’s Degree,Viseu,Portugal,2026-05-07 14:20:10,1,Ginásio
439,18 - 24,White/Caucasian,M,Bachelor’s Degree,Viseu,Portugal,2026-05-07 14:37:36,1,Futebol
440,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-07 14:46:30,1,
441,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2026-05-07 15:00:52,1,
442,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2026-05-07 18:29:43,1,
443,25 - 30,White/Caucasian,M,Master’s Degree,Viseu,Portugal,2026-05-07 20:52:12,1,
444,18 - 24,White/Caucasian,M,Bachelor’s Degree,Castelo Branco,Portugal,2026-05-14 10:41:05,1,
445,25 - 30,Hispanic,M,Bachelor’s Degree,Salamanca,Spain,2026-05-14 10:46:34,1,
446,18 - 24,White/Caucasian,M,Master’s Degree,Setúbal,Portugal,2026-05-18 13:45:04,1,
447,18 - 24,Asian,F,High School,Hồ Chí Minh,Vietnam,2026-05-22 19:57:18,1,
448,41 - 50,White/Caucasian,M,Master’s Degree,Uppsala County,Sweden,2026-05-25 16:56:12,1,
449,18 - 24,White/Caucasian,F,Bachelor’s Degree,Santarém,Portugal,2026-05-27 10:28:12,1,
450,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-27 10:29:32,1,
451,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2026-05-27 10:32:59,1,
452,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2026-05-27 10:33:22,1,Padel
453,25 - 30,White/Caucasian,F,Bachelor’s Degree,Porto,Portugal,2026-05-27 10:40:47,1,Crochet/Tricot
454,41 - 50,Prefer not to disclose,F,High School,Braga,Portugal,2026-05-27 10:41:06,1,Viagens
455,41 - 50,Prefer not to disclose,F,Bachelor’s Degree,Viana do Castelo,Portugal,2026-05-27 10:45:50,1,Genealogia
456,41 - 50,Prefer not to disclose,M,Master’s Degree,Cheshire West and Chester,United Kingdom,2026-05-27 10:48:00,1,
457,31 - 40,Latino,F,Bachelor’s Degree,Viseu,Portugal,2026-05-27 10:48:24,1,
458,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2026-05-27 10:49:56,1,
459,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2026-05-27 11:19:15,1,
460,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-27 12:30:22,1,Pilates
461,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2026-05-27 12:56:01,1,
462,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-05-27 13:07:53,1,
463,31 - 40,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-05-27 13:09:43,1,Escalada
464,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2026-05-27 13:14:45,1,Artes Marciais
465,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2026-05-27 13:48:34,1,
466,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-27 14:30:10,1,
467,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-27 14:32:38,1,
468,25 - 30,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-05-27 14:43:11,1,
469,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2026-05-27 14:58:52,1,
470,41 - 50,White/Caucasian,F,Doctorate Degree,Porto,Portugal,2026-05-27 15:46:43,1,
471,18 - 24,White/Caucasian,M,Bachelor’s Degree,Açores,Portugal,2026-05-27 19:19:51,1,
472,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2026-05-27 22:04:24,1,
473,31 - 40,Latino,F,Bachelor’s Degree,Setúbal,Portugal,2026-05-28 09:30:09,1,Crôche
474,31 - 40,Hispanic,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-28 09:30:13,1,
475,31 - 40,Latino,F,Bachelor’s Degree,Porto,Portugal,2026-05-28 10:10:57,1,
476,31 - 40,White/Caucasian,F,High School,Setúbal,Portugal,2026-05-28 10:11:55,1,
477,31 - 40,Latino,F,Master’s Degree,Lisboa,Portugal,2026-05-28 10:11:58,1,
478,31 - 40,Prefer not to disclose,F,Master’s Degree,Évora,Portugal,2026-05-28 10:17:56,1,
479,31 - 40,Latino,F,Master’s Degree,Lisboa,Portugal,2026-05-28 10:21:32,1,
480,31 - 40,Prefer not to disclose,F,Doctorate Degree,Porto,Portugal,2026-05-28 10:25:05,1,
481,18 - 24,Hispanic,M,High School,Lisboa,Portugal,2026-05-28 10:44:45,1,
482,41 - 50,White/Caucasian,F,Master’s Degree,Setúbal,Portugal,2026-05-28 12:27:15,1,
483,31 - 40,Latino,F,Bachelor’s Degree,Leiria,Portugal,2026-05-28 12:41:11,1,
484,31 - 40,Latino,F,Bachelor’s Degree,Leiria,Portugal,2026-05-28 12:41:11,1,
485,31 - 40,White/Caucasian,F,Master’s Degree,Leiria,Portugal,2026-05-28 13:04:29,1,convívio
486,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2026-05-28 18:26:43,1,
487,31 - 40,White/Caucasian,F,Bachelor’s Degree,Porto,Portugal,2026-05-28 23:45:59,1,
488,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2026-05-29 00:27:13,1,
489,31 - 40,White/Caucasian,F,Bachelor’s Degree,Porto,Portugal,2026-05-29 08:51:27,1,
490,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-29 09:29:45,1,
491,18 - 24,White/Caucasian,F,Master’s Degree,Santarém,Portugal,2026-05-31 10:38:35,1,
492,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2026-05-31 18:55:56,1,
493,31 - 40,White/Caucasian,F,Master’s Degree,Setúbal,Portugal,2026-06-01 09:15:53,1,
494,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2026-06-05 10:48:30,1,
